,importance,feature
1554,0.05629197474049502,v22_v47_v113_v107
2289,0.05621095718754663,v50_v55_v88
545,0.05613456247606191,v22_v113_v72_v91
439,0.05557115495377884,v22_v112_v125
146,0.05549324664283733,v30v62
1761,0.0554331150260426,v93v119
950,0.05512432218288058,v22_v110_v38_v30
2104,0.055046993054279715,v50_v119_v130
2008,0.055035690052287096,v65v36
48,0.054893036255696845,v125
1679,0.05420244267212543,v76v34
1072,0.054143637367365806,v22_v110_v47_v75
1175,0.05409558717801476,v22_v112_v91_v71
68,0.053977026542862586,v125v110
2279,0.05393025264341769,v50_v130_v65
35,0.053867759688506545,v62
1799,0.05347130366333555,v65v123
247,0.05315026073864747,v71v91
1591,0.05281535451086265,v61v50
1703,0.052212574626521846,v83v114
1978,0.051805690851847636,v88v33
1683,0.051716115082805623,v111v34
1742,0.05169681135980881,v85v4
44,0.0514636145046975,v112
1097,0.05138973929172803,v22_v129_v38_v66
2081,0.051320722484743495,v50_v119_v85
997,0.05102397156798707,v22_v110_v38_v66
121,0.05095175484696857,v71v129
1854,0.05089073491258362,v36v106
1754,0.05088554332991869,v36v4
1450,0.05080442547929388,v22_v47_v113_v75
1752,0.05072587306224118,v121v4
178,0.04982591934448196,v75v38
2256,0.049782036387034566,v50_v4_v83
1891,0.04929079126610534,v51v101
72,0.0487072419590706,v129v47
308,0.0481160482253439,v22_v31_v24
254,0.04792761991597589,v22v75
20,0.047486974535914876,v130
2023,0.04724582285167536,v50_v21_v130
2026,0.04680258905691498,v50_v21_v4
2296,0.04633954030082694,v50_v93_v111
41,0.04621713452710016,v30
836,0.04601728152246359,v22_v30_v107_v71
2245,0.04593006376167332,v50_v48_v106
1768,0.045793784042209774,v44v119
1872,0.04517884318280592,v111v93
1936,0.04477035854333936,v55v61
2181,0.04456350012518203,v50_v101_v85
2071,0.04426261147446116,v50_v34_v85
2249,0.04420890045501402,v50_v121_v65
216,0.044113456374254276,v107v30
2192,0.044083166444362845,v50_v10_v88
1733,0.04392502698036932,v65v21
1808,0.04389906303504886,v17v48
84,0.04387116587802385,v91v47
1687,0.04381677770341907,v119v114
